,env,avg_reward,std
0,Foraging-grid-5x5-2p-2f-v2,0.6546666666666667,0.4176992538497844
1,Foraging-grid-8x8-2p-4f-v2,0.5487777777777777,0.34444751973610693
2,Foraging-grid-10x10-2p-4f-v2,0.4848935786435786,0.3630339673128432
3,Foraging-grid-12x12-2p-4f-v2,0.46871825396825395,0.35095278053702134
4,Foraging-grid-14x14-2p-5f-v2,0.41563816738816733,0.336118882990129
5,Foraging-grid-16x16-2p-6f-v2,0.43520522533022526,0.3038768532417885
6,Foraging-grid-18x18-2p-8f-v2,0.3581419250683957,0.26133904816591885
7,Foraging-grid-5x5-3p-2f-v2,0.4656904761904762,0.42632973183843637
8,Foraging-grid-5x5-4p-2f-v2,0.4886190476190477,0.4368121194110794
9,Foraging-grid-5x5-5p-2f-v2,0.6583333333333333,0.41734944058373386
10,Foraging-grid-5x5-6p-2f-v2,0.7396666666666667,0.4017100944711248
